reference_id,recieved_at,university,caller_name,outcome_1,remark,campaign_id
347535,2023-01-05 14:02:00,Illinois Institute of Technology,Isha,Will Submit the docx,within 1-2 weeks,IANF23
346388,2023-01-05 14:03:00,Illinois Institute of Technology,Shailja,Not interested,another uni,IANF23
358198,2023-01-05 14:17:00,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23
355946,2023-01-05 14:21:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
349504,2023-01-05 14:23:00,Illinois Institute of Technology,Isha,Will Submit the docx,within this week,IANF23
360743,2023-01-05 14:29:00,Illinois Institute of Technology,Isha,Not interested,got admitted in another university,IANF23
370110,2023-01-05 14:36:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
347676,2023-01-05 14:36:00,Illinois Institute of Technology,Isha,Voicemail,,IANF23
351407,2023-01-05 14:39:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
362158,2023-01-05 14:41:00,Illinois Institute of Technology,Isha,Voicemail,,IANF23
360502,2023-01-05 14:42:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
359215,2023-01-05 14:44:00,Illinois Institute of Technology,Isha,Reschedule,,IANF23
349097,2023-01-05 14:44:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
329546,2023-01-05 14:46:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
333708,2023-01-05 14:46:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
342414,2023-01-05 14:48:00,Illinois Institute of Technology,Shailja,Not interested,another uni,IANF23
351860,2023-01-05 14:49:00,Illinois Institute of Technology,Isha,Will Submit the docx,within this week,IANF23
351833,2023-01-05 14:51:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
365785,2023-01-05 14:58:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
348094,2023-01-05 15:00:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
363667,2023-01-05 15:00:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
328855,2023-01-05 15:02:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
352497,2023-01-05 15:02:00,Illinois Institute of Technology,Isha,Disconnected,,IANF23
348824,2023-01-05 15:04:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
351107,2023-01-05 15:04:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
356452,2023-01-05 15:05:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
344745,2023-01-05 15:06:00,Illinois Institute of Technology,Isha,Not interested,got admitted in another university,IANF23
365647,2023-01-05 15:09:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
353035,2023-01-05 15:10:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
363362,2023-01-05 15:11:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
355208,2023-01-05 15:15:00,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23
357253,2023-01-05 15:18:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
356488,2023-01-05 15:19:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
367066,2023-01-05 15:21:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
358152,2023-01-05 15:22:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
347013,2023-01-05 15:23:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
365770,2023-01-05 15:25:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
349538,2023-01-05 15:26:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
354851,2023-01-05 15:27:00,Illinois Institute of Technology,Isha,Want to defer,,IANF23
357976,2023-01-05 15:28:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
368137,2023-01-05 15:30:00,Illinois Institute of Technology,Shailja,Completed application,,IANF23
346672,2023-01-05 15:31:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
360741,2023-01-05 15:32:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
370941,2023-01-05 15:33:00,Illinois Institute of Technology,Shailja,Reschedule,,IANF23
363377,2023-01-05 15:34:00,Illinois Institute of Technology,Shailja,Reschedule,,IANF23
370117,2023-01-05 15:37:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
355968,2023-01-05 15:39:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
